Fiama_Product_Image,Fiama Product Name,Quantity,Rating,No of Ratings,Old Price(Rs),Discount Offer,New Price(Rs)
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDGBBMV1258_1.png",Mega Celebration pack Multi-variant Gel Bar,125g,3.8,4,640,33%,429
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDPA1256_2.png",Peach & Avocado Gel Bar,125g,4.6,48,530,25%,398
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDBB1256_2.png",Blackcurrant & Bearberry Gel Bar,125g,4.7,7,530,25%,398
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/1-June-2023/FDSGCP125x4_1.png",Shower Gel Men Celebration Pack,125ml,NA,NA,520,25%,390
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/10-Oct-2023/FDMSGDC500_2.png",Deep Clean Men Shower Gel,500ml,NA,NA,499,35%,324
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDED115_2.png",Blackcurrant & Bearberry Gel Bar,125g,4.7,7,95,11%,85
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDMD110_2.png",Peach & Avocado Gel Bar,125g,4.6,48,95,11%,85
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDCS110_2.png",Lemongrass & Jojoba Gel Bar,125g,4.8,21,95,11%,85
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDLF125_2.png",Patchouli & Macademia Gel Bar,125g,4.9,14,95,11%,85
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDREFSHPLS125_2.png",Refreshing Pulse Men Gel Bar,125g,4.7,16,95,11%,85
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/2-Mar-2023/FDCS1153_2.png",Lemongrass & Jojoba Gel Bar,125g,4.8,21,265,10%,239
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDMD1103_2.png",Peach & Avocado Gel Bar,125g,4.6,48,265,10%,239
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/2-Mar-2023/FDED1153_2.png",Blackcurrant & Bearberry Gel Bar,125g,4.7,7,265,10%,239
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/9-Feb-2023/FDGBBACP1253_2.png",Active Celebration Pack Men Multi-variant Gel Bar,125g,4.3,3,265,10%,239
"https://cdn.staticans.com/image/tr:e-sharpen-01,h-250,w-290,cm-pad_resize/data/Fiama/2-Mar-2023/FDREFSHPLS1253_2.png",Refreshing Pulse Men Gel Bar,125g,4.3,4,295,10%,266
